,Time,Date,AQI
333,11:15:00,2023-02-04,163.54166666666666
334,11:30:00,2023-02-04,163.74305555555554
335,11:45:00,2023-02-04,163.94444444444446
336,12:00:00,2023-02-04,163.9375
337,12:15:00,2023-02-04,163.93055555555554
338,12:30:00,2023-02-04,163.92361111111111
339,12:45:00,2023-02-04,163.91666666666666
340,13:00:00,2023-02-04,164.24305555555554
341,13:15:00,2023-02-04,163.86902373557746
342,13:30:00,2023-02-04,163.77922065540116
343,13:45:00,2023-02-04,163.67751135581406
344,14:00:00,2023-02-04,163.10643465121098
345,14:15:00,2023-02-04,162.32708784445876
346,14:30:00,2023-02-04,161.57390137604418
347,14:45:00,2023-02-04,160.8489601950721
348,15:00:00,2023-02-04,160.40492551996294
349,15:15:00,2023-02-04,159.9211737729278
350,15:30:00,2023-02-04,159.48418028341
351,15:45:00,2023-02-04,158.7294088064722
352,16:00:00,2023-02-04,158.92385325091664
353,16:15:00,2023-02-04,159.11829769536106
354,16:30:00,2023-02-04,159.31274213980555
355,16:45:00,2023-02-04,159.50718658424995
356,17:00:00,2023-02-04,159.56274213980555
357,17:15:00,2023-02-04,159.61829769536106
358,17:30:00,2023-02-04,159.67385325091664
359,17:45:00,2023-02-04,159.7294088064722
360,18:00:00,2023-02-04,159.4169088064722
361,18:15:00,2023-02-04,159.1044088064722
362,18:30:00,2023-02-04,158.7919088064722
363,18:45:00,2023-02-04,158.4794088064722
364,19:00:00,2023-02-04,158.72246436202772
365,19:15:00,2023-02-04,158.9655199175833
366,19:30:00,2023-02-04,159.20857547313886
367,19:45:00,2023-02-04,159.4516310286944
368,20:00:00,2023-02-04,159.2155199175833
369,20:15:00,2023-02-04,158.9794088064722
370,20:30:00,2023-02-04,158.74329769536106
371,20:45:00,2023-02-04,158.50718658424995
372,21:00:00,2023-02-04,158.36829769536106
373,21:15:00,2023-02-04,158.2294088064722
374,21:30:00,2023-02-04,158.0905199175833
375,21:45:00,2023-02-04,157.9516310286944
376,22:00:00,2023-02-04,159.23635325091664
377,22:15:00,2023-02-04,160.52107547313886
378,22:30:00,2023-02-04,161.80579769536106
379,22:45:00,2023-02-04,163.0905199175833
380,23:00:00,2023-02-04,164.19468658424995
381,23:15:00,2023-02-04,165.29885325091664
382,23:30:00,2023-02-04,166.4030199175833
383,23:45:00,2023-02-04,167.50718658424995
384,00:00:00,2023-02-05,168.2919088064722
385,00:15:00,2023-02-05,169.0766310286944
386,00:30:00,2023-02-05,169.86135325091664
387,00:45:00,2023-02-05,170.64607547313886
388,01:00:00,2023-02-05,171.2780199175833
389,01:15:00,2023-02-05,171.90996436202772
390,01:30:00,2023-02-05,172.5419088064722
391,01:45:00,2023-02-05,173.17385325091664
392,02:00:00,2023-02-05,173.7294088064722
